,age,sex,weight,reaction,count,applnNo
9449,3,2,l,ALANINE AMINOTRANSFERASE INCREASED,1,NDA205223
9450,3,2,n,ANAL ABSCESS,1,NDA205223
9451,3,2,n,CHEST DISCOMFORT,1,NDA205223
9452,3,2,n,COUGH,1,NDA205223
9453,4,2,l,CROHN^S DISEASE,1,NDA205223
9454,4,2,l,DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,1,NDA205223
9455,4,2,l,HEPATITIS,1,NDA205223
9456,4,2,n,CROHN^S DISEASE,4,NDA205223
9457,4,2,n,ABDOMINAL PAIN,3,NDA205223
9458,4,2,n,PYREXIA,3,NDA205223
9459,5,2,l,PARAESTHESIA,3,NDA205223
9460,5,2,l,BURNING SENSATION,2,NDA205223
9461,5,2,l,CHOLECYSTITIS ACUTE,2,NDA205223
9462,5,2,n,ANXIETY,106,NDA205223
9463,5,2,n,PAIN,105,NDA205223
9464,5,2,n,EMOTIONAL DISTRESS,79,NDA205223
9465,5,2,h,PAIN,35,NDA205223
9466,5,2,h,EMOTIONAL DISTRESS,30,NDA205223
9467,5,2,h,ANXIETY,26,NDA205223
9468,6,2,l,WEIGHT DECREASED,3,NDA205223
9469,6,2,l,ABDOMINAL PAIN,1,NDA205223
9470,6,2,l,ANAEMIA,1,NDA205223
9471,6,2,n,NAUSEA,36,NDA205223
9472,6,2,n,PAIN,34,NDA205223
9473,6,2,n,MALAISE,32,NDA205223
9474,6,2,h,DIARRHOEA,5,NDA205223
9475,6,2,h,DIVERTICULITIS,3,NDA205223
9476,6,2,h,ELECTROLYTE IMBALANCE,3,NDA205223
9477,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,3,ANDA077625
9478,1,1,l,INCUBATOR THERAPY,2,ANDA077625
9479,1,1,l,LOW BIRTH WEIGHT BABY,2,ANDA077625
9480,2,1,l,DRUG INEFFECTIVE,7,ANDA077625
9481,2,1,l,BRONCHITIS,2,ANDA077625
9482,2,1,l,GASTROOESOPHAGEAL REFLUX DISEASE,2,ANDA077625
9483,3,1,l,FATIGUE,2,ANDA077625
9484,3,1,l,HYPOTONIA,2,ANDA077625
9485,3,1,l,TRANSAMINASES INCREASED,2,ANDA077625
9486,4,1,l,PSYCHOMOTOR HYPERACTIVITY,2,ANDA077625
9487,4,1,l,ANXIETY,1,ANDA077625
9488,4,1,l,DEPRESSED MOOD,1,ANDA077625
9489,4,1,n,SUSPECTED COVID-19,1,ANDA077625
9490,5,1,l,CONDITION AGGRAVATED,1,ANDA077625
9491,5,1,l,FEBRILE NEUTROPENIA,1,ANDA077625
9492,5,1,l,PERIRECTAL ABSCESS,1,ANDA077625
9493,5,1,n,OVERDOSE,6,ANDA077625
9494,5,1,n,SEIZURE,6,ANDA077625
9495,5,1,n,BRADYCARDIA,4,ANDA077625
9496,5,1,h,ANXIETY,1,ANDA077625
9497,5,1,h,BASEDOW^S DISEASE,1,ANDA077625
9498,5,1,h,OCCUPATIONAL EXPOSURE TO PRODUCT,1,ANDA077625
9499,6,1,l,ABDOMINAL DISCOMFORT,1,ANDA077625
9500,6,1,l,DIARRHOEA,1,ANDA077625
9501,6,1,l,ENTEROCOLITIS,1,ANDA077625
9502,6,1,n,CONTUSION,3,ANDA077625
9503,6,1,n,BLOOD PRESSURE DECREASED,2,ANDA077625
9504,6,1,n,DEPRESSED LEVEL OF CONSCIOUSNESS,2,ANDA077625
9505,6,1,h,ATRIAL FIBRILLATION,1,ANDA077625
9506,6,1,h,DRUG INEFFECTIVE,1,ANDA077625
9507,6,1,h,HEART RATE INCREASED,1,ANDA077625
9508,1,2,l,MATERNAL EXPOSURE BEFORE PREGNANCY,2,ANDA077625
9509,1,2,l,MATERNAL EXPOSURE DURING PREGNANCY,2,ANDA077625
9510,1,2,l,PREMATURE BABY,2,ANDA077625
9511,2,2,l,MAGNETIC RESONANCE IMAGING HEAD ABNORMAL,3,ANDA077625
9512,2,2,l,RETINOGRAM ABNORMAL,3,ANDA077625
9513,2,2,l,DRUG INEFFECTIVE,2,ANDA077625
9514,3,2,l,CHANGE IN SEIZURE PRESENTATION,2,ANDA077625
9515,3,2,l,DRUG INEFFECTIVE,2,ANDA077625
9516,3,2,l,EPILEPSY WITH MYOCLONIC-ATONIC SEIZURES,2,ANDA077625
9517,4,2,l,WEIGHT DECREASED,3,ANDA077625
9518,4,2,l,ARRHYTHMIA,2,ANDA077625
9519,4,2,l,DECREASED APPETITE,2,ANDA077625
9520,4,2,n,FATIGUE,1,ANDA077625
9521,4,2,n,INTENTIONAL OVERDOSE,1,ANDA077625
9522,4,2,n,NAUSEA,1,ANDA077625
9523,5,2,l,ANTICONVULSANT DRUG LEVEL INCREASED,1,ANDA077625
9524,5,2,l,APLASTIC ANAEMIA,1,ANDA077625
9525,5,2,l,BLOOD CREATININE INCREASED,1,ANDA077625
9526,5,2,n,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,4,ANDA077625
9527,5,2,n,ALOPECIA,3,ANDA077625
9528,5,2,n,DRUG INEFFECTIVE,3,ANDA077625
9529,5,2,h,DIZZINESS,2,ANDA077625
9530,5,2,h,DRUG INEFFECTIVE,2,ANDA077625
9531,5,2,h,HEADACHE,2,ANDA077625
9532,6,2,l,BLOOD CREATINE PHOSPHOKINASE INCREASED,1,ANDA077625
9533,6,2,l,DRUG INTERACTION,1,ANDA077625
9534,6,2,l,FALL,1,ANDA077625
9535,6,2,n,DRUG INEFFECTIVE,4,ANDA077625
9536,6,2,n,FALL,2,ANDA077625
9537,6,2,n,FATIGUE,2,ANDA077625
9538,6,2,h,BREAST CANCER,1,ANDA077625
9539,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,6,ANDA084427
9540,1,1,l,LOW BIRTH WEIGHT BABY,4,ANDA084427
9541,1,1,l,DRUG INEFFECTIVE,3,ANDA084427
9542,2,1,l,FOETAL EXPOSURE DURING PREGNANCY,6,ANDA084427
9543,2,1,l,MUSCULAR WEAKNESS,3,ANDA084427
9544,2,1,l,NEONATAL RESPIRATORY DEPRESSION,3,ANDA084427
9545,3,1,l,SEIZURE,3,ANDA084427
9546,3,1,l,SEDATION,2,ANDA084427
9547,3,1,l,SOMNOLENCE,2,ANDA084427
9548,3,1,n,DRUG DEPENDENCE,1,ANDA084427
9549,4,1,l,ABDOMINAL WALL CYST,1,ANDA084427
9550,4,1,l,ALTERED STATE OF CONSCIOUSNESS,1,ANDA084427
9551,4,1,l,ANAL ABSCESS,1,ANDA084427
9552,4,1,h,DRUG INEFFECTIVE,1,ANDA084427
9553,4,1,h,MYOSITIS,1,ANDA084427
9554,5,1,l,CONDITION AGGRAVATED,1,ANDA084427
9555,5,1,l,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,1,ANDA084427
9556,5,1,l,OFF LABEL USE,1,ANDA084427
9557,5,1,n,ELECTROCARDIOGRAM QT PROLONGED,7,ANDA084427
9558,5,1,n,ALANINE AMINOTRANSFERASE INCREASED,6,ANDA084427
9559,5,1,n,DRUG INEFFECTIVE,6,ANDA084427
9560,5,1,h,FEBRILE NEUTROPENIA,4,ANDA084427
9561,5,1,h,DRUG INEFFECTIVE,2,ANDA084427
9562,5,1,h,ACUTE KIDNEY INJURY,1,ANDA084427
9563,6,1,l,INTERNATIONAL NORMALISED RATIO INCREASED,1,ANDA084427
9564,6,1,n,DIARRHOEA,5,ANDA084427
9565,6,1,n,SEIZURE,4,ANDA084427
9566,6,1,n,DYSPHAGIA,3,ANDA084427
9567,6,1,h,DEATH,1,ANDA084427
9568,6,1,h,DRUG INTERACTION,1,ANDA084427
9569,6,1,h,HAEMATOMA MUSCLE,1,ANDA084427
9570,1,2,l,BRADYCARDIA NEONATAL,7,ANDA084427
9571,1,2,l,LOW BIRTH WEIGHT BABY,7,ANDA084427
9572,1,2,l,PREMATURE BABY,7,ANDA084427
9573,2,2,l,MULTIPLE-DRUG RESISTANCE,2,ANDA084427
9574,2,2,l,COARCTATION OF THE AORTA,1,ANDA084427
9575,2,2,l,DRUG INEFFECTIVE,1,ANDA084427
9576,3,2,l,INFUSION SITE EXTRAVASATION,1,ANDA084427
9577,3,2,l,INFUSION SITE SWELLING,1,ANDA084427
9578,4,2,l,GINGIVAL HYPERTROPHY,2,ANDA084427
9579,4,2,l,ACTION TREMOR,1,ANDA084427
9580,4,2,l,ATAXIA,1,ANDA084427
9581,4,2,n,ACCIDENTAL OVERDOSE,2,ANDA084427
9582,4,2,n,BRAIN DEATH,2,ANDA084427
9583,4,2,n,BRAIN OEDEMA,2,ANDA084427
9584,5,2,l,OFF LABEL USE,2,ANDA084427
9585,5,2,l,ABDOMINAL PAIN,1,ANDA084427
9586,5,2,l,ABNORMAL LOSS OF WEIGHT,1,ANDA084427
9587,5,2,n,SEIZURE,9,ANDA084427
9588,5,2,n,PAIN,6,ANDA084427
9589,5,2,n,ANXIETY,5,ANDA084427
9590,5,2,h,HEADACHE,3,ANDA084427
9591,5,2,h,INJURY,3,ANDA084427
9592,5,2,h,SEIZURE,3,ANDA084427
9593,6,2,l,DRUG INEFFECTIVE,1,ANDA084427
9594,6,2,l,INAPPROPRIATE ANTIDIURETIC HORMONE SECRETION,1,ANDA084427
9595,6,2,l,NEUROPATHY PERIPHERAL,1,ANDA084427
9596,6,2,n,DYSPHAGIA,3,ANDA084427
9597,6,2,n,HEADACHE,3,ANDA084427
9598,6,2,n,PAIN IN EXTREMITY,3,ANDA084427
9599,6,2,h,ATRIAL FIBRILLATION,1,ANDA084427
9600,6,2,h,BLOOD CALCIUM DECREASED,1,ANDA084427
9601,6,2,h,BODY TEMPERATURE INCREASED,1,ANDA084427
9659,5,1,n,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,4,ANDA202148
9660,5,1,n,DRUG INEFFECTIVE,4,ANDA202148
9661,5,1,n,FEBRILE NEUTROPENIA,4,ANDA202148
9662,5,1,h,PSORIASIS,16,ANDA202148
9663,5,1,h,DRUG INEFFECTIVE,11,ANDA202148
9664,5,1,h,HIDRADENITIS,11,ANDA202148
9665,6,1,n,PNEUMONIA,3,ANDA202148
9666,6,1,n,BLADDER CANCER,2,ANDA202148
9667,6,1,n,CONDITION AGGRAVATED,2,ANDA202148
9668,6,1,h,BASAL CELL CARCINOMA,3,ANDA202148
9669,6,1,h,ACUTE KIDNEY INJURY,1,ANDA202148
9670,6,1,h,CARDIAC DISORDER,1,ANDA202148
9671,4,2,n,DERMATITIS EXFOLIATIVE GENERALISED,1,ANDA202148
9672,5,2,l,PSORIASIS,5,ANDA202148
9673,5,2,l,RASH PAPULAR,5,ANDA202148
9674,5,2,l,SKIN EXFOLIATION,5,ANDA202148
9675,5,2,n,PSORIASIS,11,ANDA202148
9676,5,2,n,FALL,8,ANDA202148
9677,5,2,n,DRUG INEFFECTIVE,7,ANDA202148
9678,5,2,h,PSORIASIS,3,ANDA202148
9679,5,2,h,CELLULITIS,1,ANDA202148
9680,5,2,h,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1,ANDA202148
9681,6,2,n,PSORIASIS,9,ANDA202148
9682,6,2,n,ASTHENIA,7,ANDA202148
9683,6,2,n,ADJUSTMENT DISORDER,6,ANDA202148
9684,6,2,h,BASAL CELL CARCINOMA,1,ANDA202148
9685,6,2,h,DEEP VEIN THROMBOSIS,1,ANDA202148
9686,6,2,h,PULMONARY EMBOLISM,1,ANDA202148
9687,1,1,l,FLUID INTAKE REDUCED,1,ANDA217114
9688,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,1,ANDA217114
9689,1,1,l,PREMATURE BABY,1,ANDA217114
9690,5,1,l,ANAEMIA,1,ANDA217114
9691,5,1,l,CACHEXIA,1,ANDA217114
9692,5,1,l,LACTIC ACIDOSIS,1,ANDA217114
9693,5,1,n,ACQUIRED IMMUNODEFICIENCY SYNDROME,2,ANDA217114
9694,5,1,n,BACK PAIN,2,ANDA217114
9695,5,1,n,PNEUMONIA,2,ANDA217114
9696,5,1,h,ALANINE AMINOTRANSFERASE INCREASED,1,ANDA217114
9697,5,1,h,ANAL INCONTINENCE,1,ANDA217114
9698,5,1,h,ANXIETY,1,ANDA217114
9699,6,1,n,CHRONIC KIDNEY DISEASE,1,ANDA217114
9700,6,1,n,EMBOLIC STROKE,1,ANDA217114
9701,6,1,n,GLYCOSURIA,1,ANDA217114
9702,5,2,l,ANAEMIA MACROCYTIC,1,ANDA217114
9703,5,2,l,ANXIETY,1,ANDA217114
9704,5,2,l,ARTHRALGIA,1,ANDA217114
9705,5,2,n,CEREBROVASCULAR ACCIDENT,2,ANDA217114
9706,5,2,n,TREATMENT NONCOMPLIANCE,2,ANDA217114
9707,5,2,n,AGITATION,1,ANDA217114
9708,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,1,NDA201280
9709,1,1,l,TRANSPOSITION OF THE GREAT VESSELS,1,NDA201280
9710,4,1,n,LACTIC ACIDOSIS,4,NDA201280
9711,4,1,n,TOXICITY TO VARIOUS AGENTS,4,NDA201280
9712,4,1,n,METABOLIC ACIDOSIS,1,NDA201280
9713,4,1,h,DIABETIC KETOACIDOSIS,2,NDA201280
9714,4,1,h,BLOOD KETONE BODY INCREASED,1,NDA201280
9715,5,1,l,ACUTE CORONARY SYNDROME,1,NDA201280
9716,5,1,l,DECUBITUS ULCER,1,NDA201280
9717,5,1,l,DRUG ERUPTION,1,NDA201280
9718,5,1,n,ANXIETY,26,NDA201280
9719,5,1,n,NAUSEA,26,NDA201280
9720,5,1,n,ARTHRALGIA,25,NDA201280
9721,5,1,h,FATIGUE,18,NDA201280
9722,5,1,h,OFF LABEL USE,17,NDA201280
9723,5,1,h,VENTRICULAR TACHYCARDIA,13,NDA201280
9724,6,1,l,DERMATITIS BULLOUS,1,NDA201280
9725,6,1,l,DIABETIC KETOACIDOSIS,1,NDA201280
9726,6,1,l,KETOACIDOSIS,1,NDA201280
9727,6,1,n,ACUTE KIDNEY INJURY,15,NDA201280
9728,6,1,n,DEHYDRATION,15,NDA201280
9729,6,1,n,DIARRHOEA,12,NDA201280
9730,6,1,h,BLOOD GLUCOSE INCREASED,16,NDA201280
9731,6,1,h,DYSPNOEA,16,NDA201280
9732,6,1,h,DEHYDRATION,15,NDA201280
9733,4,2,n,BLOOD GLUCOSE INCREASED,1,NDA201280
9734,4,2,n,GASTRITIS,1,NDA201280
9735,4,2,n,HELICOBACTER INFECTION,1,NDA201280
9736,5,2,l,HEART RATE INCREASED,2,NDA201280
9737,5,2,l,KIDNEY TRANSPLANT REJECTION,2,NDA201280
9738,5,2,l,URINARY TRACT INFECTION,2,NDA201280
9739,5,2,n,ARTHRALGIA,26,NDA201280
9740,5,2,n,OFF LABEL USE,26,NDA201280
9741,5,2,n,ALOPECIA,25,NDA201280
9742,5,2,h,MALAISE,6,NDA201280
9743,5,2,h,NAUSEA,5,NDA201280
9744,5,2,h,PAIN,5,NDA201280
9745,6,2,l,DECREASED APPETITE,3,NDA201280
9746,6,2,l,FALL,3,NDA201280
9747,6,2,l,WEIGHT DECREASED,3,NDA201280
9748,6,2,n,BLOOD GLUCOSE INCREASED,26,NDA201280
9749,6,2,n,FATIGUE,26,NDA201280
9750,6,2,n,PAIN,24,NDA201280
9751,6,2,h,ACUTE KIDNEY INJURY,4,NDA201280
9752,6,2,h,GASTROINTESTINAL HAEMORRHAGE,3,NDA201280
9753,6,2,h,ANXIETY,2,NDA201280
9798,5,1,n,BALANCE DISORDER,1,NDA021879
9799,5,1,n,FALL,1,NDA021879
9800,5,1,n,FATIGUE,1,NDA021879
9801,5,1,h,DRUG DOSE OMISSION,1,NDA021879
9802,5,1,h,DRUG EFFECT DECREASED,1,NDA021879
9803,5,1,h,HOSPITALISATION,1,NDA021879
9804,6,1,n,AGGRESSION,1,NDA021879
9805,6,1,n,ANGER,1,NDA021879
9806,6,1,n,ARTHRALGIA,1,NDA021879
9807,5,2,n,DEPRESSION,2,NDA021879
9808,5,2,n,DRUG INEFFECTIVE,2,NDA021879
9809,5,2,n,ACTINIC KERATOSIS,1,NDA021879
9810,5,2,h,HEADACHE,2,NDA021879
9811,5,2,h,PAIN IN EXTREMITY,2,NDA021879
9812,5,2,h,ABDOMINAL PAIN LOWER,1,NDA021879
9813,6,2,n,ACUTE KIDNEY INJURY,1,NDA021879
9814,6,2,n,ENCEPHALOPATHY,1,NDA021879
9815,6,2,n,NEOPLASM PROGRESSION,1,NDA021879
9816,6,2,h,ABDOMINAL DISCOMFORT,1,NDA021879
9817,6,2,h,ALOPECIA,1,NDA021879
9818,6,2,h,CATARACT,1,NDA021879
9819,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,49,ANDA206651
9820,1,1,l,PREMATURE BABY,44,ANDA206651
9821,1,1,l,LOW BIRTH WEIGHT BABY,43,ANDA206651
9822,1,1,h,FOETAL EXPOSURE DURING PREGNANCY,1,ANDA206651
9823,1,1,h,JAUNDICE NEONATAL,1,ANDA206651
9824,2,1,l,FOETAL EXPOSURE DURING PREGNANCY,6,ANDA206651
9825,2,1,l,PREMATURE BABY,5,ANDA206651
9826,2,1,l,LOW BIRTH WEIGHT BABY,4,ANDA206651
9827,3,1,l,PRURITUS,11,ANDA206651
9828,3,1,l,DRY SKIN,9,ANDA206651
9829,3,1,l,FEBRILE NEUTROPENIA,9,ANDA206651
9830,3,1,n,OFF LABEL USE,2,ANDA206651
9831,3,1,n,STEROID DIABETES,2,ANDA206651
9832,3,1,n,SYNCOPE,2,ANDA206651
9833,4,1,l,ERYTHEMA,4,ANDA206651
9834,4,1,l,ACUTE KIDNEY INJURY,3,ANDA206651
9835,4,1,l,CYSTITIS VIRAL,2,ANDA206651
9836,4,1,n,DRUG INEFFECTIVE,7,ANDA206651
9837,4,1,n,OFF LABEL USE,7,ANDA206651
9838,4,1,n,CROHN^S DISEASE,6,ANDA206651
9839,4,1,h,DERMATITIS ATOPIC,1,ANDA206651
9840,4,1,h,DISCOMFORT,1,ANDA206651
9841,4,1,h,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,1,ANDA206651
9842,5,1,l,COVID-19,2,ANDA206651
9843,5,1,l,EMBOLISM,2,ANDA206651
9844,5,1,l,PNEUMONIA BACTERIAL,2,ANDA206651
9845,5,1,n,PYREXIA,34,ANDA206651
9846,5,1,n,ACUTE KIDNEY INJURY,33,ANDA206651
9847,5,1,n,PAIN,28,ANDA206651
9848,5,1,h,FATIGUE,11,ANDA206651
9849,5,1,h,PAIN,11,ANDA206651
9850,5,1,h,ANXIETY,10,ANDA206651
9851,6,1,l,ACUTE MYOCARDIAL INFARCTION,1,ANDA206651
9852,6,1,l,ASTHENIA,1,ANDA206651
9853,6,1,l,BLOOD CREATINE PHOSPHOKINASE INCREASED,1,ANDA206651
9854,6,1,n,ACUTE KIDNEY INJURY,19,ANDA206651
9855,6,1,n,PYREXIA,17,ANDA206651
9856,6,1,n,DRUG INTERACTION,14,ANDA206651
9857,6,1,h,PANCREATITIS NECROTISING,4,ANDA206651
9858,6,1,h,PRURITUS,4,ANDA206651
9859,6,1,h,DYSPNOEA,3,ANDA206651
9860,1,2,l,LOW BIRTH WEIGHT BABY,32,ANDA206651
9861,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,31,ANDA206651
9862,1,2,l,PREMATURE BABY,27,ANDA206651
9863,2,2,l,FOETAL EXPOSURE DURING PREGNANCY,6,ANDA206651
9864,2,2,l,PREMATURE BABY,6,ANDA206651
9865,2,2,l,ACUTE KIDNEY INJURY,4,ANDA206651
9866,3,2,l,FEBRILE NEUTROPENIA,9,ANDA206651
9867,3,2,l,APLASTIC ANAEMIA,7,ANDA206651
9868,3,2,l,DERMATITIS ATOPIC,5,ANDA206651
9869,3,2,n,EYE COLOUR CHANGE,1,ANDA206651
9870,3,2,n,INJECTION SITE PAIN,1,ANDA206651
9871,3,2,n,LACK OF INJECTION SITE ROTATION,1,ANDA206651
9872,4,2,l,POLYOMAVIRUS-ASSOCIATED NEPHROPATHY,5,ANDA206651
9873,4,2,l,RENAL TRANSPLANT FAILURE,5,ANDA206651
9874,4,2,l,NEPHRECTOMY,4,ANDA206651
9875,4,2,n,ECZEMA,5,ANDA206651
9876,4,2,n,OFF LABEL USE,5,ANDA206651
9877,4,2,n,ABDOMINAL PAIN UPPER,4,ANDA206651
9878,4,2,h,APLASTIC ANAEMIA,3,ANDA206651
9879,4,2,h,FEBRILE NEUTROPENIA,3,ANDA206651
9880,4,2,h,MUCOSAL INFLAMMATION,3,ANDA206651
9881,5,2,l,MELAS SYNDROME,5,ANDA206651
9882,5,2,l,URINARY TRACT INFECTION,3,ANDA206651
9883,5,2,l,ACQUIRED MITOCHONDRIAL DNA MUTATION,2,ANDA206651
9884,5,2,n,PRURITUS,43,ANDA206651
9885,5,2,n,DRUG INEFFECTIVE,29,ANDA206651
9886,5,2,n,OFF LABEL USE,28,ANDA206651
9887,5,2,h,PRURITUS,10,ANDA206651
9888,5,2,h,PRODUCT USE IN UNAPPROVED INDICATION,8,ANDA206651
9889,5,2,h,DYSPNOEA,7,ANDA206651
9890,6,2,l,BACK PAIN,2,ANDA206651
9891,6,2,l,COLITIS ISCHAEMIC,2,ANDA206651
9892,6,2,l,DIARRHOEA,2,ANDA206651
9893,6,2,n,PRURITUS,20,ANDA206651
9894,6,2,n,DRUG INEFFECTIVE,13,ANDA206651
9895,6,2,n,OFF LABEL USE,10,ANDA206651
9896,6,2,h,FATIGUE,2,ANDA206651
9897,6,2,h,NAUSEA,2,ANDA206651
9898,6,2,h,RASH ERYTHEMATOUS,2,ANDA206651
9899,4,1,n,INFLAMMATORY BOWEL DISEASE,1,NDA206099
9900,5,1,n,PAIN,3,NDA206099
9901,5,1,n,ANHEDONIA,2,NDA206099
9902,5,1,n,ANXIETY,2,NDA206099
9903,5,1,h,ANHEDONIA,3,NDA206099
9904,5,1,h,ANXIETY,3,NDA206099
9905,5,1,h,EMOTIONAL DISTRESS,3,NDA206099
9906,6,1,n,ARTERIAL OCCLUSIVE DISEASE,1,NDA206099
9907,6,1,n,ARTERIOSCLEROSIS,1,NDA206099
9908,6,1,n,ATAXIA,1,NDA206099
9909,6,1,h,ASTHMA,1,NDA206099
9910,6,1,h,BLOOD PRESSURE ABNORMAL,1,NDA206099
9911,6,1,h,COUGH,1,NDA206099
9912,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,3,NDA206099
9913,1,2,l,HEART RATE DECREASED,2,NDA206099
9914,1,2,l,HYPOTONIA NEONATAL,1,NDA206099
9915,2,2,l,FOETAL EXPOSURE DURING PREGNANCY,1,NDA206099
9916,2,2,l,HYPOTONIA NEONATAL,1,NDA206099
9917,2,2,l,NEONATAL RESPIRATORY DISTRESS,1,NDA206099
9918,5,2,l,ABDOMINAL DISTENSION,1,NDA206099
9919,5,2,l,ABDOMINAL PAIN,1,NDA206099
9920,5,2,l,ABDOMINAL PAIN UPPER,1,NDA206099
9921,5,2,n,DIZZINESS,13,NDA206099
9922,5,2,n,FATIGUE,13,NDA206099
9923,5,2,n,NAUSEA,13,NDA206099
9924,5,2,h,DEEP VEIN THROMBOSIS,2,NDA206099
9925,5,2,h,PAIN IN EXTREMITY,2,NDA206099
9926,5,2,h,POSTMENOPAUSAL HAEMORRHAGE,2,NDA206099
9927,6,2,n,RASH PRURITIC,3,NDA206099
9928,6,2,n,ABDOMINAL DISCOMFORT,2,NDA206099
9929,6,2,n,DYSPEPSIA,2,NDA206099
9930,6,2,h,NAUSEA,4,NDA206099
9931,6,2,h,BREAST CANCER METASTATIC,3,NDA206099
9932,6,2,h,BRONCHITIS,3,NDA206099
9933,3,1,l,MOOD ALTERED,2,NDA019389
9934,3,1,l,NIGHTMARE,2,NDA019389
9935,3,1,l,FALL,1,NDA019389
9936,5,1,n,PAIN,8,NDA019389
9937,5,1,n,ANHEDONIA,7,NDA019389
9938,5,1,n,ANXIETY,7,NDA019389
9939,5,1,h,ANXIETY,3,NDA019389
9940,5,1,h,DIZZINESS,2,NDA019389
9941,5,1,h,HEADACHE,2,NDA019389
9942,6,1,n,DIZZINESS,3,NDA019389
9943,6,1,n,DYSPNOEA,2,NDA019389
9944,6,1,n,HEADACHE,2,NDA019389
9945,6,1,h,BRAIN FOG,2,NDA019389
9946,6,1,h,LIMB DISCOMFORT,2,NDA019389
9947,6,1,h,ABDOMINAL PAIN,1,NDA019389
9948,4,2,n,ABDOMINAL PAIN UPPER,2,NDA019389
9949,4,2,n,MEDICATION ERROR,2,NDA019389
9950,4,2,n,OVERDOSE,1,NDA019389
9951,5,2,n,COUGH,4,NDA019389
9952,5,2,n,DIZZINESS,4,NDA019389
9953,5,2,n,DYSPNOEA,4,NDA019389
9954,5,2,h,ASTHMA,2,NDA019389
9955,5,2,h,ABDOMINAL PAIN UPPER,1,NDA019389
9956,5,2,h,ACUTE KIDNEY INJURY,1,NDA019389
9957,6,2,n,AMNESIA,2,NDA019389
9958,6,2,n,ANHEDONIA,2,NDA019389
9959,6,2,n,ANXIETY,2,NDA019389
9960,6,2,h,HYPERSENSITIVITY,2,NDA019389
9961,6,2,h,RASH PAPULAR,2,NDA019389
9962,6,2,h,RASH PRURITIC,2,NDA019389
9963,5,1,l,EMOTIONAL DISTRESS,2,NDA203100
9964,5,1,l,PAIN,2,NDA203100
9965,5,1,l,RENAL IMPAIRMENT,2,NDA203100
9966,5,1,n,PAIN,301,NDA203100
9967,5,1,n,EMOTIONAL DISTRESS,298,NDA203100
9968,5,1,n,ANXIETY,281,NDA203100
9969,5,1,h,PAIN,109,NDA203100
9970,5,1,h,EMOTIONAL DISTRESS,106,NDA203100
9971,5,1,h,ANXIETY,103,NDA203100
9972,6,1,n,EMOTIONAL DISTRESS,7,NDA203100
9973,6,1,n,PAIN,7,NDA203100
9974,6,1,n,ANHEDONIA,6,NDA203100
9975,6,1,h,BLOOD CREATININE INCREASED,1,NDA203100
9976,6,1,h,BLOOD PHOSPHORUS INCREASED,1,NDA203100
9977,6,1,h,CREATININE URINE INCREASED,1,NDA203100
9978,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,3,NDA203100
9979,1,2,l,ARRHYTHMIA,1,NDA203100
9980,1,2,l,FOETAL HEART RATE ABNORMAL,1,NDA203100
9981,4,2,n,APPENDICITIS,1,NDA203100
9982,4,2,n,RASH,1,NDA203100
9983,4,2,n,TUBERCULOSIS,1,NDA203100
9984,5,2,l,ANHEDONIA,2,NDA203100
9985,5,2,l,ANXIETY,2,NDA203100
9986,5,2,l,ECONOMIC PROBLEM,2,NDA203100
9987,5,2,n,PAIN,84,NDA203100
9988,5,2,n,EMOTIONAL DISTRESS,83,NDA203100
9989,5,2,n,ANXIETY,82,NDA203100
9990,5,2,h,EMOTIONAL DISTRESS,38,NDA203100
9991,5,2,h,PAIN,38,NDA203100
9992,5,2,h,ANXIETY,37,NDA203100
9993,6,2,n,EMOTIONAL DISTRESS,8,NDA203100
9994,6,2,n,PAIN,8,NDA203100
9995,6,2,n,ANHEDONIA,7,NDA203100
9996,2,1,l,OFF LABEL USE,1,NDA022180
9997,5,1,n,BACK PAIN,2,NDA022180
9998,5,1,n,ANAPHYLACTIC REACTION,1,NDA022180
9999,5,1,n,BLOOD PRESSURE INCREASED,1,NDA022180
10000,5,1,h,CHEST DISCOMFORT,1,NDA022180
10001,5,1,h,COUGH,1,NDA022180
10002,5,1,h,DEATH,1,NDA022180
10003,6,1,n,UNRESPONSIVE TO STIMULI,2,NDA022180
10004,6,1,n,ANAPHYLACTIC REACTION,1,NDA022180
10005,6,1,n,BACK PAIN,1,NDA022180
10006,6,1,h,DYSPNOEA,2,NDA022180
10007,6,1,h,BLOOD CREATININE INCREASED,1,NDA022180
10008,6,1,h,BLOOD THYROID STIMULATING HORMONE INCREASED,1,NDA022180
10009,4,2,l,ANAPHYLACTIC REACTION,2,NDA022180
